Nr;Woord;Correctheid1;Nr;Woord;Correctheid1;Nr;Woord;Correctheid1;;;;
1;geliefkoosd;CORR;21;sollisiteren;INCOR;41;muzeum;INCOR;;;;
2;apparaat;CORR;22;kannibaal;CORR;42;brocoli;INCOR;;;Correct;0
3;mislijdend;INCOR;23;waardenloos;INCOR;43;hypnose;CORR;;;Incorrect;0
4;hondenhok;CORR;24;eindhalte;CORR;44;anuleren;INCOR;;;Score;0
5;pyjama;CORR;25;spagetti;INCOR;45;joghurt;INCOR;;;;
6;interview;CORR;26;blindedarmontsteking;CORR;46;refrein;CORR;;;;
7;eigelijk;INCOR;27;discipline;CORR;47;stiekum;INCOR;;;;
8;februari;CORR;28;alinia;INCOR;48;jaloezie;CORR;;;;
9;onbemint;INCOR;29;ananas;CORR;49;sinasappelsap;INCOR;;;;
10;onmiddelijk;INCOR;30;bacteriën;CORR;50;feliciteren;CORR;;;;
11;hoofdstad;CORR;31;sympathie;CORR;51;ternouwernood;INCOR;;;;
12;gefotokopieërd;INCOR;32;diaree;INCOR;52;porselijn;INCOR;;;;
13;papegaai;CORR;33;allerlei;CORR;53;dreumes;CORR;;;;
14;licensie;INCOR;34;slimmerikken;INCOR;54;vantevoren;INCOR;;;;
15;succes;CORR;35;afkickcentrum;CORR;55;ontplooiing;CORR;;;;
16;chagerijnig;INCOR;36;autentiek;INCOR;56;initiatief;CORR;;;;
17;aggressie;INCOR;37;litteken;CORR;57;onverbiddelijk;CORR;;;;
18;personage;CORR;38;kauwgom;CORR;58;lage drukgebied;INCOR;;;;
19;tennister;INCOR;39;neerwaards;INCOR;59;reklame;INCOR;;;;
20;caloriën;INCOR;40;akkoord;CORR;60;nivo;INCOR;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;